受注No,製品名,品目,厚み,幅,仕上がり幅,ピッチ,入り数,ケースNo,クラフト,外装,ショット数,メインVR,606,612,613,温度,備考,,,,
PHQP9,凹キューブ無地外装,LD,0.023,260,,460,1000,,クラフト３,２７０帯,60,460,22,1500,400,217,,,,,
ULQ26,凹キューブ５０No１９,LD,0.023,305,,480,1000,,クラフト３,３２０×５８０,60,460,22,1500,400,217,,,,,
TRY03,HD袋本体アテクト用,HD,0.04,275,,350,2000,64,,３００×４５０,62,470,20,1800,280,273,,,,,
TOP96,滅菌袋C,HD,0.05,175,,310,2000,44,,２００×４００,61,460,20,1800,250,284,,,,,
UTY32,ナイロンポリZタイプNo6,LD,0.03,420,,265,1000,,クラフト３,２８０×５００,62,470,20,1700,250,230,,,,,
UTY６７,OPPZタイプNo3,LD,0.03,345,,200,1000,,クラフト２,２２０×４５０,62,470,20,1700,250,230,,,,,
PDGC1,ニューポリブルー０３－１０,LD,0.023,200,,330,1000,,クラフト１,２２０×４５０,62,470,20,1800,350,211,,,,,
WDO45,フクロン特１号外装,LD,0.023,250,,370,1000,,クラフト２,２７０×４５０,62,470,22,1400,430,191,,,,,
VDJQ４,プレーンナン用,LD,0.03,300,,450,1800,68,,３２０×５５０,65,500,25,1400,400,241,,,,,
PALC5,BD＃２０No11.5-60　４穴,LD,0.023,135,,660,1000,,クラフト１,１５０×７００,33,254,25,1100,500,193,,,,,
UIV９９,BD＃２５No1０－５０　４穴,LD,0.023,120,,560,1000,,クラフト１,１４０×６５０,33,254,25,1100,500,193,,,,,
PEUG4,水野産業PB外装NoB,LD,0.023,430,,430,1000,,クラフト８,４８０×５００,42,320,20,1400,350,220,,,,,
UTY３４,ナイロンポリZタイプNo6C3,LD,0.03,430,,295,1000,,クラフト３,３２０×５００,60,460,20,1700,250,231,,,,,
UTY２９,ナイロンポリZタイプNo４C4,LD,0.03,360,,235,1000,,クラフト２,２６０×４５０,69,530,20,1700,250,231,,,,,
UFJ９９,メコノムシーツAB0907,HD,0.04,220,,220,4000,アーム３,,２４０×３００,62,480,25,1600,250,243,,,,,
PALD2,BD＃２０No１３－６０　穴無,LD,0.023,150,,660,1000,,クラフト１,１７０×７００,40,300,25,1600,350,196,,,,,
PALD0,BD＃２５No１３ー６０　４穴プラ,LD,0.023,150,,660,1000,,クラフト１,１７０×７０１,49,370,25,1600,350,200,,,,,
TWM67,BD＃２５No３　４穴プラ,LD,0.023,135,,510,1000,,クラフト１,１５０×６００,49,370,25,1600,350,200,,,,,
TWM４４,BD＃２０No３　４穴プラ,LD,0.023,135,,510,1000,,クラフト１,１５０×６００,40,300,25,1100,480,200,,,,,
NMO79,紙経木No40,LD,0.035,187,,540,1000,,クラフト３,２１０帯,49,370,25,1600,400,222,,,,,
TKT95,櫟(３５５×３００)ベージュ,LD,0.035,355,,300,2000,64,,３８０×４００,64,490,20,1800,230,268,,,,,
UR413,神戸牛フクロン(大),HD,0.03,260,,400,2000,58,クラフト３,２８０×４８０,64,490,25,1600,250,268,,,,,
TLM45,滅菌袋B,HD,0.05,175,,270,2500,1,,２００×３５０,55,420,18,1800,230,273,,,,,
VFQW3,IKEDA様小判抜き袋,LD,0.06,180,,290,2000,アーム５,,２２０×４００,55,420,18,1800,230,245,,,,,
NK893,ミートレックスNo10,LD,0.023,430,,700,1000,アーム１３,,３６０帯,41,310,20,1250,550,206,,,,,
TQQ13,ナイロンポリVSタイプ３２－４５,LD,0.03,350,,520,1000,,クラフト６,３６０帯,43,330,20,1250,500,203,,,,,
UTW38,ナイロンポリ企画袋TLタイプ２８－３８,LD,0.03,310,,450,1000,,クラフト６,３４０×５５０,47,374,20,1250,500,206,,,,,
VDGL3,LLD袋５００ｇポリ袋,LD,0.03,180,,270,6000,3,,２００×３５０,81,615,22,1600,280,208,,,,,
UCW62,宝生苑,HD,0.03,150,,220,10000,31,,１７０×３２０,93,700,22,1600,280,247,,,,,
UFN12,フラットバッグS,LD,0.023,330,,510,1000,65,,３５０×６００,42,325,20,1000,500,215,,,,,
SX272,神戸風月堂EG外装,LD,0.023,320,,600,2000,74,,３４０×７００,37,280,20,1000,500,215,,,,,
UBR07,東京食肉事業組合５K,LD,0.03,350,,500,1000,65,,３７０×６００,53,410,23,1200,380,222,,,,,
UTY35,ナイロンポリZタイプNo7,LD,0.03,470,,305,1000,,クラフト５,３２０×５５０,46,360,20,1700,250,237,,,,,
PA5Q6,エコ包装紙(帯掛け)小,HD,0.05,220,,420,1000,お中元小,,２４０×５００,68,520,20,1500,400,0,,,,,
PA5Q5,エコ包装紙(帯掛け)大,HD,0.05,260,,500,1000,11,,２８０×６００,68,520,20,1500,400,0,,,,,
NI867,竹皮No5,LD,0.035,190,,600,1000,,クラフト３,210帯,37,280,17,1300,530,240,,,,,
MQT04,白竹皮No6,LD,0.035,228,,637,1000,,クラフト３,２４０帯,37,280,17,1300,530,240,,,,,
NK861,白竹皮No４,LD,0.035,200,,555,1000,,クラフト３,２１０帯,40,310,17,1300,530,240,,,,,
NM014,フクロン１号外装,LD,0.023,220,,325,1000,,クラフト１,２４０×４００,66,500,22,1600,320,196,,,,,
NK866,福皮２００ｇ,LD,0.035,180,,540,1000,,クラフト３,１９０帯,41,310,17,1300,530,240,,,,,
PEUK８,クロスパックE４０－５５,LD,0.025,340,,580,1000,アーム２７,,３６０×６８０,53,400,25,1400,400,233,,,,,
ROK53,ミルフォード一斤袋,HD,0.03,240,122,380,4000,73,,１５０×５００,68,510,18,1800,230,318,温度は上限３２０まで(熱板がゆがむ等なったら困るため),,,,
PDCY6,那須どうぶつ王国　小,LD,0.022,120,,200,10000,72,,１４０×３００,79,590,16,1800,200,264,,,,,
TUK33,ナイロンポリTLタイプ２５－５５,LD,0.03,280,,600,1000,,クラフト４,２９０帯,38,290,20,1400,550,224,,,,,
UTY68,ラミOPPZタイプNo4,LD,0.03,385,,230,1000,,クラフト２,２５０×５００,69,520,20,1700,250,236,,,,,
UTY43,バリア静防OPYZタイプNo7,LD,0.03,440,,245,1000,,クラフト２,２６０×５５０,69,520,20,1700,250,236,,,,,
PE9D8,平和会館,HD,0.02,230,,320,8000,アーム３,,２５０×４００,90,690,20,1800,280,267,,,,,
UTY42,バリア静防OPYZタイプNo7,LD,0.03,410,,235,1000,,クラフト2,２５０×５００,69,520,20,1700,250,236,,,,,
UVU24,神戸牛フクロン(中),HD,0.03,270,,280,2500,2,,２９０×３６０,90,690,20,1800,280,276,,,,,
UTF７８,５L袋HD無地袋,HD,0.05,300,,550,1000,230,,３２０×６５０,53,400,20,1800,350,275,,,,,
PA9Y9,乳白ガゼット袋,LD,0.03,290,,545,1000,77,,２００×６５０,62,470,18,1600,350,244,,,,,
UZR38,印刷シート用輪ゴム,LD,0.03,200,,630,1000,アーム２４,,２４０×７００,44,340,25,1200,550,225,,,,,
WDO68,フクロン２号外装,LD,0.023,200,,285,1000,,クラフト８ １/４,２２０×３６０,68,520,22,1600,280,193,,,,,
,フクロン３号外装,LD,0.023,180,,265,1000,,クラフト７ １/４,２００×３５０,70,535,22,1600,280,193,,,,,
TOK０９,滅菌袋A,HD,0.05,175,,165,3500,204,,２００×２５０,60,460,18,1800,230,270,,,,,
